Division,MatchDate,HomeTeam,AwayTeam,FTHome,FTAway,FTResult,HomeElo,AwayElo,OddHome,OddDraw,OddAway
SP1,2022-10-22,Vallecano,Cadiz,5.0,1.0,H,1609.04,1611.12,1.75,3.58,5.17
SP1,2022-10-22,Valladolid,Sociedad,1.0,0.0,H,1632.09,1779.84,3.62,3.42,2.11
SP1,2022-10-22,Valencia,Mallorca,1.0,2.0,A,1705.76,1618.98,1.76,3.58,5.05
SP1,2022-10-22,Real Madrid,Sevilla,3.0,1.0,H,1988.95,1748.01,1.37,5.03,8.62
SP1,2022-10-23,Espanol,Elche,2.0,2.0,D,1627.54,1582.87,1.7,3.87,5.04
SP1,2022-10-23,Betis,Ath Madrid,1.0,2.0,A,1789.21,1838.03,3.16,3.32,2.35
SP1,2022-10-23,Girona,Osasuna,1.0,1.0,D,1596.33,1671.25,2.59,3.19,2.9
SP1,2022-10-23,Villarreal,Almeria,2.0,1.0,H,1835.99,1611.83,1.38,5.04,8.53
SP1,2022-10-23,Barcelona,Ath Bilbao,4.0,0.0,H,1884.97,1755.03,1.56,4.47,5.68
SP1,2022-10-24,Celta,Getafe,1.0,1.0,D,1693.87,1647.37,1.79,3.5,4.99
SP1,2022-10-28,Mallorca,Espanol,1.0,1.0,D,1618.98,1627.54,2.3,3.08,3.49
SP1,2022-10-29,Almeria,Celta,3.0,1.0,H,1611.83,1693.87,3.26,3.37,2.26
SP1,2022-10-29,Cadiz,Ath Madrid,3.0,2.0,H,1611.12,1838.03,6.47,3.76,1.6
SP1,2022-10-29,Sevilla,Vallecano,0.0,1.0,A,1748.01,1609.04,1.99,3.41,3.99
SP1,2022-10-29,Valencia,Barcelona,0.0,1.0,A,1705.76,1884.97,5.29,4.38,1.59
SP1,2022-10-30,Osasuna,Valladolid,2.0,0.0,H,1671.25,1632.09,1.93,3.47,4.18
SP1,2022-10-30,Real Madrid,Girona,1.0,1.0,D,1988.95,1596.33,1.21,6.96,13.19
SP1,2022-10-30,Ath Bilbao,Villarreal,1.0,0.0,H,1755.03,1835.99,2.2,3.41,3.32
SP1,2022-10-30,Sociedad,Betis,0.0,2.0,A,1779.84,1789.21,2.05,3.47,3.72
SP1,2022-10-31,Elche,Getafe,0.0,1.0,A,1582.87,1647.37,2.71,3.02,2.86
SP1,2022-11-04,Girona,Ath Bilbao,2.0,1.0,H,1590.56,1740.37,3.84,3.55,1.99
SP1,2022-11-05,Getafe,Cadiz,0.0,0.0,D,1651.53,1607.39,2.2,3.09,3.77
SP1,2022-11-05,Valladolid,Elche,2.0,1.0,H,1633.84,1571.8,1.82,3.72,4.42
SP1,2022-11-05,Celta,Osasuna,1.0,2.0,A,1650.94,1672.48,2.14,3.34,3.61
SP1,2022-11-05,Barcelona,Almeria,2.0,0.0,H,1879.72,1615.08,1.1,10.92,25.93
SP1,2022-11-06,Ath Madrid,Espanol,1.0,1.0,D,1821.76,1619.52,1.45,4.36,7.91
SP1,2022-11-06,Sociedad,Valencia,1.0,1.0,D,1761.68,1679.71,1.95,3.44,4.18
SP1,2022-11-06,Villarreal,Mallorca,0.0,2.0,A,1808.73,1612.34,1.61,3.93,5.89
SP1,2022-11-06,Betis,Sevilla,1.0,1.0,D,1791.1,1733.2,2.18,3.31,3.54
SP1,2022-11-07,Vallecano,Real Madrid,3.0,2.0,H,1634.29,1972.03,5.2,4.11,1.64
SP1,2022-11-08,Elche,Girona,1.0,2.0,A,1571.8,1590.56,3.36,3.3,2.26
SP1,2022-11-08,Ath Bilbao,Valladolid,3.0,0.0,H,1740.37,1633.84,1.42,4.69,7.85
SP1,2022-11-08,Osasuna,Barcelona,1.0,2.0,A,1672.48,1879.72,6.13,4.38,1.54
SP1,2022-11-09,Almeria,Getafe,1.0,0.0,H,1615.08,1651.53,2.22,3.22,3.54
SP1,2022-11-09,Sevilla,Sociedad,1.0,2.0,A,1733.2,1761.68,2.6,3.19,2.91
SP1,2022-11-09,Espanol,Villarreal,0.0,1.0,A,1619.52,1808.73,3.09,3.3,2.4
SP1,2022-11-09,Mallorca,Ath Madrid,1.0,0.0,H,1612.34,1821.76,3.78,3.2,2.14
SP1,2022-11-10,Vallecano,Celta,0.0,0.0,D,1634.29,1650.94,2.17,3.3,3.57
SP1,2022-11-10,Valencia,Betis,3.0,0.0,H,1679.71,1791.1,2.17,3.37,3.5
SP1,2022-11-10,Real Madrid,Cadiz,2.0,1.0,H,1972.03,1607.39,1.15,8.36,19.48
SP1,2022-12-29,Girona,Vallecano,2.0,2.0,D,1599.96,1636.87,2.36,3.29,3.18
SP1,2022-12-29,Betis,Ath Bilbao,0.0,0.0,D,1762.73,1727.83,2.86,3.38,2.53
SP1,2022-12-29,Ath Madrid,Elche,2.0,0.0,H,1788.01,1548.13,1.29,5.67,11.24
SP1,2022-12-30,Getafe,Mallorca,2.0,0.0,H,1631.21,1632.96,2.81,2.75,3.09
SP1,2022-12-30,Cadiz,Almeria,1.0,1.0,D,1599.39,1610.36,2.37,3.18,3.27
SP1,2022-12-30,Celta,Sevilla,1.0,1.0,D,1633.81,1715.3,2.21,3.36,3.42
SP1,2022-12-30,Valladolid,Real Madrid,0.0,2.0,A,1621.37,1951.12,6.39,4.68,1.48
SP1,2022-12-31,Barcelona,Espanol,1.0,1.0,D,1881.63,1610.02,1.25,6.43,11.21
SP1,2022-12-31,Sociedad,Osasuna,2.0,0.0,H,1750.07,1667.33,1.9,3.42,4.46
SP1,2022-12-31,Villarreal,Valencia,2.0,1.0,H,1761.05,1689.67,1.97,3.45,4.09
SP1,2023-01-06,Elche,Celta,0.0,1.0,A,1545.17,1634.33,4.07,3.28,2.03
SP1,2023-01-06,Valencia,Cadiz,0.0,1.0,A,1684.92,1597.9,1.59,4.08,5.94
SP1,2023-01-07,Villarreal,Real Madrid,2.0,1.0,H,1765.81,1954.59,3.34,3.83,2.09
SP1,2023-01-07,Mallorca,Valladolid,1.0,0.0,H,1623.51,1617.91,1.96,3.34,4.26
